                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2902,                 3.9559,                 4.2474,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5445,                 4.0107,                 4.1597,             0.00011669,             0.00011669,             0.00011669
                      2,                 4.0352,                 3.8086,                 4.2139,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5422,                 4.0121,                 4.1579,             0.00024757,             0.00024757,             0.00024757
                      3,                 4.0424,                 3.6522,                  4.165,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5377,                 4.0155,                 4.1554,             0.00037582,             0.00037582,             0.00037582
                      4,                 4.0717,                 3.4765,                 4.1312,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5299,                 4.0234,                 4.1492,             0.00050142,             0.00050142,             0.00050142
                      5,                 4.0327,                 3.2905,                 4.0775,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5292,                 4.0464,                 4.1403,             0.00062438,             0.00062438,             0.00062438
                      6,                  3.989,                 3.2102,                 4.0199,                0.00385,                   0.07,                0.00284,                0.00066,                 3.5628,                 4.0939,                 4.1325,             0.00074471,             0.00074471,             0.00074471
                      7,                 3.8069,                 3.0945,                 3.9437,                0.00385,                   0.07,                0.00284,                0.00066,                 3.6301,                 4.1019,                 4.1005,             0.00086239,             0.00086239,             0.00086239
                      8,                 3.7248,                 3.0328,                 3.8485,                0.00385,                   0.07,                0.00284,                0.00066,                 3.6385,                  4.166,                 4.1319,             0.00097743,             0.00097743,             0.00097743
                      9,                  3.624,                 2.8228,                 3.7201,                0.00385,                   0.07,                0.00284,                0.00066,                 3.6252,                 4.1548,                 4.0445,              0.0010898,              0.0010898,              0.0010898
                     10,                 3.4377,                 2.8023,                 3.6391,                0.00125,                0.04286,                  0.001,                0.00029,                 3.3683,                   4.32,                 3.7544,              0.0011996,              0.0011996,              0.0011996
                     11,                 3.2605,                  2.747,                  3.547,                0.00167,                0.05714,                0.00224,                0.00053,                  3.216,                  4.705,                 3.6698,              0.0013067,              0.0013067,              0.0013067
                     12,                 3.2833,                 2.6724,                 3.4617,                0.00719,                0.06857,                0.00589,                0.00087,                 3.1769,                 3.9155,                 3.9859,              0.0014112,              0.0014112,              0.0014112
                     13,                 3.2044,                  2.633,                 3.4249,                0.12709,                0.08143,                0.07127,                 0.0075,                 3.3305,                 4.4853,                 3.6625,               0.001469,               0.001469,               0.001469
                     14,                 3.1221,                 2.5452,                 3.3048,                0.54535,                   0.02,                0.01656,                0.00386,                 3.6438,                 3.5359,                 3.7344,               0.001469,               0.001469,               0.001469
                     15,                 2.9933,                 2.5808,                 3.2493,                0.03906,                0.16714,                0.03898,                0.01401,                  3.791,                 3.4167,                 3.8048,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.9973,                 2.4933,                   3.17,                0.13308,                   0.07,                0.05919,                 0.0239,                 3.7576,                 3.6419,                 3.6729,               0.001436,               0.001436,               0.001436
                     17,                 2.9313,                 2.4929,                 3.1402,                0.67441,                   0.09,                 0.1102,                0.03935,                 3.2519,                 2.9155,                 3.4943,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.8929,                  2.417,                 3.0421,                0.18835,                0.26857,                0.12306,                0.04328,                  3.014,                 2.8349,                 3.3678,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.8705,                 2.4272,                  3.078,                0.18944,                0.24286,                0.17657,                0.06997,                 2.9631,                 2.6437,                 3.3535,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.8055,                  2.395,                 3.0418,                0.18387,                0.15714,                0.15251,                0.04931,                 3.1755,                 2.5914,                 3.4416,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.8132,                 2.2975,                 2.9561,                 0.2317,                0.33637,                0.18077,                   0.07,                 2.9708,                 2.4706,                 3.1603,              0.0013534,              0.0013534,              0.0013534
